COMPONENT PM2.5 (aerosol), day
STATION LYKOVRISI
20130728 00:00,-9999,0
20130729 00:00,-9999,0
20130730 00:00,-9999,0
20130731 00:00,-9999,0
20130801 00:00,-9999,0
20130802 00:00,-9999,0
20130803 00:00,-9999,0
20130804 00:00,-9999,0
20130805 00:00,-9999,0
20130806 00:00,-9999,0
20130807 00:00,-9999,0
20130808 00:00,-9999,0
20130809 00:00,-9999,0
20130810 00:00,-9999,0
20130811 00:00,-9999,0
20130812 00:00,-9999,0
20130813 00:00,-9999,0
20130814 00:00,-9999,0
20130815 00:00,-9999,0
20130816 00:00,-9999,0
20130817 00:00,-9999,0
20130818 00:00,-9999,0
20130819 00:00,-9999,0
20130820 00:00,-9999,0
20130821 00:00,-9999,0
20130822 00:00,-9999,0
20130823 00:00,-9999,0
20130824 00:00,-9999,0
20130825 00:00,-9999,0
20130826 00:00,-9999,0
20130827 00:00,-9999,0
20130828 00:00,-9999,0
20130829 00:00,-9999,0
20130830 00:00,-9999,0
20130831 00:00,-9999,0
20130901 00:00,-9999,0
20130902 00:00,-9999,0
20130903 00:00,-9999,0
20130904 00:00,-9999,0
20130905 00:00,-9999,0
20130906 00:00,-9999,0
20130907 00:00,-9999,0
20130908 00:00,-9999,0
20130909 00:00,-9999,0
20130910 00:00,-9999,0
20130911 00:00,-9999,0
20130912 00:00,-9999,0
20130913 00:00,-9999,0
20130914 00:00,-9999,0
20130915 00:00,-9999,0
20130916 00:00,-9999,0
20130917 00:00,-9999,0
20130918 00:00,-9999,0
20130919 00:00,-9999,0
20130920 00:00,-9999,0
20130921 00:00,-9999,0
20130922 00:00,-9999,0
20130923 00:00,-9999,0
20130924 00:00,-9999,0
20130925 00:00,-9999,0
20130926 00:00,-9999,0
20130927 00:00,-9999,0
20130928 00:00,-9999,0
20130929 00:00,-9999,0
20130930 00:00,-9999,0
20131001 00:00,-9999,0
20131002 00:00,-9999,0
20131003 00:00,-9999,0
20131004 00:00,-9999,0
20131005 00:00,-9999,0
20131006 00:00,-9999,0
20131007 00:00,-9999,0
20131008 00:00,-9999,0
20131009 00:00,-9999,0
20131010 00:00,-9999,0
20131011 00:00,-9999,0
20131012 00:00,-9999,0
20131013 00:00,-9999,0
20131014 00:00,-9999,0
20131015 00:00,-9999,0
20131016 00:00,16,1
20131017 00:00,8,1
20131018 00:00,10,1
20131019 00:00,9,1
20131020 00:00,11,1
20131021 00:00,16,1
20131022 00:00,19,1
20131023 00:00,21,1
20131024 00:00,14,1
20131025 00:00,17,1
20131026 00:00,15,1
20131027 00:00,19,1
20131028 00:00,25,1
20131029 00:00,31,1
20131030 00:00,31,1
20131031 00:00,25,1
20131101 00:00,26,1
20131102 00:00,29,1
20131103 00:00,29,1
20131104 00:00,20,1
20131105 00:00,15,1
20131106 00:00,-9999,0
20131107 00:00,-9999,0
20131108 00:00,-9999,0
20131109 00:00,-9999,0
20131110 00:00,-9999,0
20131111 00:00,-9999,0
20131112 00:00,-9999,0
20131113 00:00,-9999,0
20131114 00:00,-9999,0
20131115 00:00,-9999,0
20131116 00:00,-9999,0
20131117 00:00,-9999,0
20131118 00:00,-9999,0
20131119 00:00,-9999,0
20131120 00:00,-9999,0
20131121 00:00,-9999,0
20131122 00:00,-9999,0
20131123 00:00,-9999,0
20131124 00:00,-9999,0
20131125 00:00,-9999,0
20131126 00:00,-9999,0
20131127 00:00,-9999,0
20131128 00:00,-9999,0
20131129 00:00,-9999,0
20131130 00:00,-9999,0
20131201 00:00,-9999,0
20131202 00:00,-9999,0
20131203 00:00,-9999,0
20131204 00:00,-9999,0
20131205 00:00,-9999,0
20131206 00:00,-9999,0
20131207 00:00,-9999,0
20131208 00:00,-9999,0
20131209 00:00,-9999,0
20131210 00:00,-9999,0
20131211 00:00,-9999,0
20131212 00:00,-9999,0
20131213 00:00,-9999,0
20131214 00:00,-9999,0
20131215 00:00,-9999,0
20131216 00:00,-9999,0
20131217 00:00,-9999,0
20131218 00:00,-9999,0
20131219 00:00,-9999,0
20131220 00:00,-9999,0
20131221 00:00,-9999,0
20131222 00:00,-9999,0
20131223 00:00,-9999,0
20131224 00:00,-9999,0
20131225 00:00,-9999,0
20131226 00:00,-9999,0
20131227 00:00,-9999,0
20131228 00:00,-9999,0
20131229 00:00,-9999,0
20131230 00:00,-9999,0
20131231 00:00,-9999,0
